plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld
2 9 7 bOe 920.900 1015.100 4 5 1004.600 966.700 920.900 1111.700 837.200 1063.400 837.200 966.700 921.000 918.400 1004.600 966.700 0.000 0.000 0 0 0.000 0.000 0.529 1.000 0.529 1.000 209070 9 False 3 3.600 4 47.786 0 209070
2 9 6 FOe 1004.600 870.000 4 6 921.000 918.400 920.900 821.700 1004.700 773.400 1088.400 821.700 1088.400 918.300 1004.600 966.700 921.000 918.400 0 0 0.000 2.000 0.652 1.000 0.652 1.000 209060 8 False 3 3.600 4 40.893 0 209060
2 10 5 cOe 1255.800 725.000 3 3 1255.800 628.400 1172.100 773.400 1172.100 676.700 1255.800 628.400 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 210050 7 False 3 3.600 3 29.999 0 210050
2 9 3 FOe 1255.800 435.000 3 6 1172.100 483.300 1172.100 386.700 1255.800 338.300 1339.500 386.700 1339.600 483.400 1255.800 531.700 1172.100 483.300 0 0 0.000 2.000 0.603 1.000 0.601 1.000 209030 7 False 3 3.600 3 19.106 0 209030
2 9 2 bOe 1339.500 290.000 4 5 1423.200 241.700 1339.500 386.700 1255.800 338.300 1255.800 241.700 1339.500 193.300 1423.200 241.700 0.000 0.000 0 0 0.000 0.000 0.528 1.000 0.528 1.000 209020 5 False 3 3.600 4 12.216 0 209020
2 9 1 aOe 1423.200 145.000 3 4 1423.300 48.400 1423.200 241.700 1339.500 193.300 1339.500 96.700 1423.300 48.400 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.382 1.000 0.382 1.000 209010 2 False 3 3.600 3 5.817 0 209010
2 8 0 FOe 1339.500 -0.000 3 6 1255.800 48.400 1255.800 -48.400 1339.500 -96.700 1423.200 -48.300 1423.300 48.400 1339.500 96.700 1255.800 48.400 0 0 0.000 2.000 0.593 1.000 0.591 1.000 208000 1 False 3 3.600 3 -0.000 0 208000
2 10 6 cOe 1172.100 870.000 3 3 1172.100 773.400 1088.400 918.300 1088.400 821.700 1172.100 773.400 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 210060 8 False 3 3.600 3 36.585 0 210060
2 10 4 cOe 1339.500 580.000 3 3 1339.600 483.400 1255.800 628.400 1255.800 531.700 1339.600 483.400 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 210040 7 False 3 3.600 3 23.412 0 210040
3 3 0 FI 502.300 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 0 0 8.278 9.000 3.215 3.000 3.807 3.000 303000 0 False 6 7.200 0 0.000 1 303001
